"equality_id";"country_id";"year";"income_share_poorest_10pro";"income_share_richest_10pro";"inequality_index_gini";"poverty_below_national";"total_number_of_dollar_billionaires"
1;3;2000;1.0;40.2;52.0;0.0;0
2;3;2008;2.1;32.3;42.7;0.0;0
3;3;2018;1.3;39.6;51.3;32.3;0
4;5;1996;3.9;21.2;27.0;0.0;0
5;5;2002;3.5;25.4;31.7;25.4;0
6;5;2005;3.5;24.3;30.6;18.5;0
7;5;2008;3.7;24.5;30.0;12.4;0
8;5;2012;3.7;22.9;29.0;14.3;0
9;5;2014;2.9;25.5;34.6;0.0;0
10;5;2015;3.2;24.8;32.8;0.0;0
11;5;2016;3.0;25.0;33.7;23.7;0
12;5;2017;3.1;24.6;33.1;23.4;0
13;5;2018;3.2;22.7;30.1;23.0;0
14;5;2019;3.4;23.8;30.8;21.8;0
15;8;2013;2.3;21.4;32.5;0.0;0
16;8;2018;4.0;20.0;26.0;0.0;0
17;9;1980;2.0;30.2;40.8;0.0;0
18;9;1986;1.8;32.2;42.8;0.0;0
19;9;1987;1.6;34.3;45.3;0.0;0
20;9;1991;1.7;36.6;46.8;0.0;0
21;9;1992;1.6;34.3;45.5;0.0;0
22;9;1993;1.5;33.2;44.9;0.0;0
23;9;1994;1.5;34.4;45.9;0.0;0
24;9;1995;1.1;37.0;48.9;0.0;0
25;9;1996;1.0;36.9;49.5;0.0;0
26;9;1997;1.1;36.4;49.1;0.0;0
27;9;1998;1.1;38.1;50.7;0.0;0
28;9;1999;1.1;37.0;49.8;0.0;0
29;9;2000;0.9;37.7;51.1;0.0;0
30;9;2001;0.7;39.5;53.3;0.0;0
31;9;2002;0.9;40.5;53.8;0.0;0
32;9;2003;1.1;37.7;50.9;0.0;0
33;9;2004;1.2;35.2;48.4;0.0;1
34;9;2005;1.3;34.9;47.7;0.0;1
35;9;2006;1.3;33.7;46.3;0.0;1
36;9;2007;1.4;33.7;46.2;0.0;1
37;9;2008;1.4;32.4;44.9;0.0;0
38;9;2009;1.5;31.2;43.7;0.0;0
39;9;2010;1.6;31.7;43.6;0.0;0
40;9;2011;1.7;31.0;42.6;0.0;0
41;9;2012;1.7;29.7;41.3;0.0;0
42;9;2013;1.8;29.4;40.9;0.0;0
43;9;2014;1.8;29.9;41.6;0.0;0
44;9;2016;1.8;30.4;42.0;30.3;0
45;9;2017;1.8;29.7;41.1;25.7;0
46;9;2018;1.8;29.8;41.3;32.0;0
47;9;2019;1.7;31.0;42.9;35.5;0
48;9;2020;1.7;30.3;42.3;42.0;0
49;10;1999;3.0;29.6;36.2;0.0;0
50;10;2001;3.2;29.1;35.4;0.0;0
51;10;2002;3.3;29.0;34.8;0.0;0
52;10;2003;3.7;28.2;33.0;0.0;0
53;10;2004;3.1;31.7;37.5;0.0;0
54;10;2005;3.3;30.8;36.0;0.0;0
55;10;2006;3.7;24.5;29.7;0.0;0
56;10;2007;3.5;25.1;31.2;0.0;0
57;10;2008;3.9;23.7;29.2;0.0;0
58;10;2009;4.0;22.9;28.0;0.0;0
59;10;2010;3.9;25.0;30.0;0.0;0
60;10;2011;3.8;24.0;29.4;0.0;0
61;10;2012;3.8;24.5;29.6;0.0;0
62;10;2013;3.6;24.7;30.6;0.0;0
63;10;2014;3.5;25.7;31.5;0.0;0
64;10;2015;3.4;26.7;32.4;0.0;0
65;10;2016;3.3;25.3;32.5;0.0;0
66;10;2017;3.5;28.4;33.6;0.0;0
67;10;2018;3.3;29.2;34.4;0.0;0
68;10;2019;3.8;25.1;29.9;26.4;0
69;10;2020;4.4;21.5;25.2;27.0;0
70;15;1981;2.8;23.3;31.3;0.0;0
71;15;1985;2.7;24.3;32.5;0.0;0
72;15;1989;2.6;24.7;33.2;0.0;0
73;15;1995;2.9;24.6;32.6;0.0;0
74;15;2001;2.7;25.1;33.5;0.0;0
75;15;2003;2.7;25.1;33.5;0.0;0
76;15;2004;3.0;25.3;33.1;0.0;5
77;15;2008;2.8;27.4;35.4;0.0;0
78;15;2010;2.7;26.5;34.7;0.0;0
79;15;2014;2.8;27.0;34.4;0.0;0
80;15;2016;2.8;25.8;33.7;0.0;0
81;15;2018;2.7;26.6;34.3;0.0;0
82;16;1987;4.4;19.3;23.0;0.0;0
83;16;1994;3.0;24.6;31.3;0.0;0
84;16;1995;2.3;22.4;31.1;0.0;0
85;16;1997;3.1;23.4;30.2;0.0;0
86;16;2000;3.4;22.7;28.8;0.0;0
87;16;2003;3.3;23.5;29.5;13.0;0
88;16;2004;3.4;23.8;29.8;12.6;3
89;16;2005;3.5;22.8;28.7;12.6;4
90;16;2006;3.4;23.7;29.6;12.0;3
91;16;2007;3.1;23.8;30.6;15.2;3
92;16;2008;3.0;24.1;30.4;14.5;0
93;16;2009;2.8;24.7;31.5;14.7;0
94;16;2010;3.1;23.6;30.3;14.5;0
95;16;2011;2.9;23.7;30.8;14.4;0
96;16;2012;2.8;23.4;30.5;14.4;0
97;16;2013;3.1;24.3;30.8;14.1;0
98;16;2014;3.1;24.1;30.5;13.9;0
99;16;2015;3.0;23.8;30.5;14.1;0
100;16;2016;2.8;23.8;30.8;14.4;0
101;16;2017;3.0;23.0;29.7;14.3;0
102;16;2018;2.9;23.9;30.8;13.3;0
103;16;2019;2.9;23.2;30.2;13.9;0
104;17;1995;2.7;26.8;34.7;0.0;0
105;17;2001;3.1;29.5;36.5;49.6;0
106;17;2002;4.8;23.2;25.3;0.0;0
107;17;2003;4.5;23.6;26.8;0.0;0
108;17;2004;4.8;24.4;26.6;0.0;0
109;17;2005;4.8;24.2;26.6;0.0;0
110;18;1992;3.4;26.6;33.3;0.0;0
111;18;1998;1.7;32.7;42.3;0.0;0
112;18;2006;4.0;28.0;33.4;67.1;0
113;18;2013;2.8;31.0;38.6;64.9;0
114;19;1985;4.0;20.6;25.2;0.0;0
115;19;1988;3.9;21.1;25.7;0.0;0
116;19;1992;3.7;20.1;25.0;0.0;0
117;19;1995;3.3;22.8;28.4;0.0;0
118;19;1997;3.5;21.6;26.8;0.0;0
119;19;2000;3.3;28.3;33.1;0.0;0
120;19;2003;3.3;22.2;28.1;0.0;0
121;19;2004;3.4;25.1;30.5;0.0;1
122;19;2005;3.4;23.9;29.3;0.0;1
123;19;2006;3.4;22.4;28.1;0.0;2
124;19;2007;3.4;23.5;29.2;0.0;2
125;19;2008;3.4;22.7;28.4;0.0;0
126;19;2009;3.2;22.7;28.6;0.0;0
127;19;2010;3.3;22.7;28.4;0.0;0
128;19;2011;3.3;22.4;28.1;0.0;0
129;19;2012;3.4;21.9;27.5;0.0;0
130;19;2013;3.3;21.8;27.7;0.0;0
131;19;2014;3.4;22.4;28.1;0.0;0
132;19;2015;3.4;22.2;27.7;0.0;0
133;19;2016;3.4;22.2;27.6;0.0;0
134;19;2017;3.4;21.9;27.4;0.0;0
135;19;2018;3.5;22.2;27.2;14.8;0
136;19;2019;3.6;22.3;27.2;14.1;0
137;20;2003;2.9;31.1;38.6;0.0;0
138;20;2011;2.5;34.5;43.4;36.2;0
139;20;2015;1.0;37.6;47.8;40.1;0
140;20;2018;2.9;29.9;37.8;0.0;0
141;21;1994;2.2;39.5;48.1;0.0;0
142;21;1998;2.0;42.7;49.9;0.0;0
143;21;2003;2.3;33.8;43.3;0.0;0
144;21;2009;2.7;32.0;39.8;0.0;0
145;21;2014;3.6;29.6;35.3;0.0;0
146;21;2018;2.3;37.5;47.3;41.4;0
147;22;1983;4.1;21.9;25.9;0.0;0
148;22;1985;4.5;23.4;26.9;0.0;0
149;22;1988;4.2;24.6;28.8;0.0;0
150;22;1991;4.1;23.3;27.6;0.0;0
151;22;1995;3.8;28.1;32.9;0.0;0
152;22;2000;3.7;27.9;33.4;48.9;0
153;22;2005;3.8;28.0;33.2;40.0;0
154;22;2010;3.9;26.9;32.1;31.5;0
155;22;2016;3.7;26.8;32.4;24.3;0
156;23;2006;1.6;26.6;35.7;0.0;0
157;23;2007;2.2;27.9;36.1;0.0;0
158;23;2008;2.4;25.7;33.6;0.0;0
159;23;2009;2.4;25.7;33.8;0.0;0
160;23;2010;2.1;26.9;35.7;0.0;0
161;23;2011;2.1;26.0;34.3;0.0;0
162;23;2012;2.0;27.4;36.0;0.0;0
163;23;2013;1.8;27.6;36.6;0.0;0
164;23;2014;2.0;28.8;37.4;0.0;0
165;23;2015;1.5;28.7;38.6;22.9;0
166;23;2016;1.6;31.4;40.6;23.4;0
167;23;2017;1.9;31.9;40.4;22.0;0
168;23;2018;1.9;32.6;41.3;22.6;0
169;23;2019;1.9;31.4;40.3;23.8;0
170;26;2001;3.6;24.8;30.0;0.0;0
171;26;2004;2.9;26.4;34.0;0.0;0
172;26;2007;3.0;25.1;33.1;18.2;0
173;26;2011;2.9;25.1;33.0;17.9;0
174;27;1998;3.1;24.9;32.0;0.0;0
175;27;1999;3.0;24.0;31.7;0.0;0
176;27;2000;3.1;24.0;31.2;41.9;0
177;27;2001;3.3;24.0;30.6;28.9;0
178;27;2002;3.3;24.0;30.3;30.5;0
179;27;2003;3.5;22.6;28.8;27.1;0
180;27;2004;3.8;21.4;26.5;17.8;0
181;27;2005;3.6;21.8;27.6;12.7;0
182;27;2006;3.6;22.4;28.3;11.1;0
183;27;2007;3.5;23.6;29.6;7.7;0
184;27;2008;3.7;22.3;27.8;6.1;0
185;27;2009;3.7;22.6;27.7;5.4;0
186;27;2010;3.6;22.9;28.6;5.2;0
187;27;2011;3.8;21.9;27.2;7.3;0
188;27;2012;4.0;21.8;26.5;6.3;0
189;27;2013;4.0;22.1;26.6;5.5;0
190;27;2014;3.9;22.6;27.2;4.8;0
191;27;2015;4.1;21.2;25.6;5.1;0
192;27;2016;4.2;21.3;25.3;5.7;0
193;27;2017;4.2;21.3;25.4;5.9;0
194;27;2018;4.3;21.4;25.2;5.6;0
195;27;2019;4.2;21.3;25.3;5.0;0
196;27;2020;4.4;20.7;24.4;4.8;0
197;28;1993;0.8;51.1;60.3;0.0;0
198;28;1994;1.0;52.5;60.9;0.0;0
199;28;1996;1.0;46.5;56.6;0.0;0
200;28;1997;0.6;50.3;60.4;0.0;0
201;28;1998;1.0;43.7;54.9;0.0;0
202;28;1999;0.9;42.4;53.3;0.0;0
203;30;1997;0.5;45.4;58.2;0.0;0
204;30;1999;0.3;42.6;58.1;0.0;0
205;30;2000;0.2;47.8;61.6;0.0;0
206;30;2001;0.5;44.2;57.4;0.0;0
207;30;2002;0.4;46.6;59.3;0.0;0
208;30;2004;0.9;43.9;55.0;0.0;0
209;30;2005;0.5;45.3;58.5;0.0;0
210;30;2006;0.6;43.6;56.7;0.0;0
211;30;2007;0.8;41.9;54.5;0.0;0
212;30;2008;0.9;38.5;50.8;0.0;0
213;30;2009;0.8;36.9;49.2;0.0;0
214;30;2011;1.1;33.7;46.1;0.0;0
215;30;2012;0.9;33.7;46.6;0.0;0
216;30;2013;1.0;35.2;47.6;0.0;0
217;30;2014;1.1;36.0;47.8;0.0;0
218;30;2015;1.1;34.8;46.7;0.0;0
219;30;2016;1.0;32.4;45.3;0.0;0
220;30;2017;1.1;32.0;44.6;0.0;0
221;30;2018;1.4;30.6;42.6;0.0;0
222;30;2019;1.7;30.8;41.6;37.2;0
223;30;2020;1.5;32.6;43.6;39.0;0
224;31;1981;0.8;45.9;57.9;0.0;0
225;31;1982;0.8;46.2;58.4;0.0;0
226;31;1983;0.8;46.8;59.0;0.0;0
227;31;1984;0.9;46.5;58.4;0.0;0
228;31;1985;0.9;42.5;55.6;0.0;0
229;31;1986;0.9;46.6;58.5;0.0;0
230;31;1987;0.7;47.4;59.7;0.0;0
231;31;1988;0.6;49.2;61.4;0.0;0
232;31;1989;0.6;51.1;63.3;0.0;0
233;31;1990;0.8;48.1;60.5;0.0;0
234;31;1992;0.8;39.7;53.2;0.0;0
235;31;1993;0.7;48.5;60.1;0.0;0
236;31;1995;0.8;47.5;59.6;0.0;0
237;31;1996;0.7;47.4;59.9;0.0;0
238;31;1997;0.7;47.4;59.8;0.0;0
239;31;1998;0.7;47.6;59.6;0.0;0
240;31;1999;0.8;47.0;59.0;0.0;0
241;31;2001;0.8;46.1;58.4;0.0;0
242;31;2002;0.9;46.1;58.1;0.0;0
243;31;2003;0.8;45.4;57.6;0.0;0
244;31;2004;0.9;44.5;56.5;0.0;6
245;31;2005;1.0;44.6;56.3;0.0;8
246;31;2006;1.0;44.1;55.6;0.0;16
247;31;2007;1.0;43.2;54.9;0.0;20
248;31;2008;1.0;42.5;54.0;0.0;0
249;31;2009;1.0;42.2;53.7;0.0;0
250;31;2011;1.1;41.7;52.9;0.0;0
251;31;2012;1.1;42.4;53.4;0.0;0
252;31;2013;1.2;41.7;52.7;0.0;0
253;31;2014;1.2;41.0;52.0;0.0;0
254;31;2015;1.2;40.9;51.9;0.0;0
255;31;2016;1.1;42.0;53.3;0.0;0
256;31;2017;1.0;42.0;53.3;0.0;0
257;31;2018;1.0;42.5;53.9;0.0;0
258;31;2019;0.9;41.9;53.5;0.0;0
259;31;2020;1.6;39.4;48.9;0.0;0
260;34;2003;2.8;32.2;40.9;0.0;0
261;34;2007;2.7;29.4;38.1;23.2;0
262;34;2012;2.7;30.7;38.8;12.0;0
263;34;2017;2.7;27.9;37.4;8.2;0
264;36;1985;1.4;42.9;54.2;59.0;0
265;36;1993;1.2;51.2;60.8;32.9;0
266;36;2002;0.8;53.1;64.7;30.6;0
267;36;2009;1.1;49.6;60.5;19.3;0
268;36;2015;1.5;41.5;53.3;0.0;0
269;37;1992;0.7;47.7;61.3;0.0;0
270;37;2008;1.2;46.2;56.2;62.0;0
271;38;1971;1.7;27.0;37.3;0.0;0
272;38;1975;2.4;24.6;33.3;0.0;0
273;38;1981;2.6;24.3;32.4;0.0;0
274;38;1987;2.8;23.8;31.5;0.0;0
275;38;1991;2.9;23.6;31.0;0.0;0
276;38;1994;2.9;23.6;31.3;0.0;0
277;38;1997;2.8;23.8;31.6;0.0;0
278;38;1998;2.7;25.3;33.2;0.0;0
279;38;2000;2.7;25.5;33.3;0.0;0
280;38;2004;2.6;25.6;33.7;0.0;17
281;38;2007;2.7;26.0;33.8;0.0;23
282;38;2010;2.7;25.7;33.6;0.0;0
283;38;2012;2.5;25.2;33.5;0.0;0
284;38;2013;2.4;25.1;33.8;0.0;0
285;38;2014;2.6;25.2;33.2;0.0;0
286;38;2015;2.5;25.5;33.7;0.0;0
287;38;2016;2.8;25.0;32.7;0.0;0
288;38;2017;2.7;25.3;33.3;0.0;0
289;40;1982;2.9;28.6;36.0;0.0;0
290;40;1992;2.8;26.4;33.9;0.0;0
291;40;2000;3.1;25.9;33.4;0.0;0
292;40;2002;3.3;24.1;31.7;0.0;0
293;40;2006;2.9;26.0;33.9;15.0;8
294;40;2007;2.9;26.7;34.3;15.7;8
295;40;2008;3.0;26.3;33.8;15.6;0
296;40;2009;3.1;25.7;32.9;15.0;0
297;40;2010;3.1;25.4;32.6;15.0;0
298;40;2011;3.2;24.7;31.7;15.9;0
299;40;2012;3.3;25.0;31.6;14.5;0
300;40;2013;3.3;25.5;32.5;13.8;0
301;40;2014;3.2;25.5;32.5;15.6;0
302;40;2015;3.2;25.2;32.3;14.7;0
303;40;2016;3.0;25.8;33.0;15.5;0
304;40;2017;3.1;25.5;32.7;14.6;0
305;40;2018;2.9;25.8;33.1;16.0;0
306;41;1987;1.2;45.4;56.2;0.0;0
307;41;1990;1.2;47.1;57.2;0.0;0
308;41;1992;1.4;45.2;54.8;0.0;0
309;41;1994;1.2;45.9;56.4;0.0;0
310;41;1996;1.3;44.4;54.9;0.0;0
311;41;1998;1.3;45.0;55.5;0.0;0
312;41;2000;1.3;42.6;52.8;36.0;0
313;41;2003;1.4;41.4;51.5;35.4;0
314;41;2006;1.9;37.9;47.3;29.1;2
315;41;2009;1.9;38.2;47.0;25.3;0
316;41;2011;2.1;37.3;46.0;22.2;0
317;41;2013;2.1;37.4;45.8;14.4;0
318;41;2015;2.2;36.1;44.4;11.7;0
319;41;2017;2.3;36.3;44.4;8.6;0
320;41;2020;2.1;35.8;44.9;10.8;0
321;42;1990;3.5;25.8;32.2;0.0;0
322;42;1993;3.3;26.6;33.9;0.0;0
323;42;1996;3.1;27.3;35.2;0.0;0
324;42;1999;2.7;29.4;38.7;0.0;0
325;42;2002;2.3;31.4;42.0;0.0;0
326;42;2005;2.4;30.9;40.9;30.2;2
327;42;2008;2.1;32.0;43.0;0.0;0
328;42;2010;2.0;32.6;43.7;17.2;0
329;42;2011;2.1;31.8;42.4;12.7;0
330;42;2012;2.1;31.5;42.2;10.2;0
331;42;2013;2.5;30.3;39.7;8.5;0
332;42;2014;2.5;29.7;39.2;7.2;0
333;42;2015;2.6;29.4;38.6;5.7;0
334;42;2016;2.7;29.4;38.5;4.5;0
335;42;2017;2.6;29.9;39.1;3.1;0
336;42;2018;2.7;29.4;38.5;1.7;0
337;42;2019;2.8;29.5;38.2;0.6;0
338;43;1985;1.8;35.6;45.5;0.0;0
339;43;1986;2.8;29.5;38.0;0.0;0
340;43;1987;2.5;32.0;40.5;0.0;0
341;43;1988;2.7;28.3;36.9;0.0;0
342;43;1992;2.3;29.5;39.4;0.0;0
343;43;1995;2.7;32.8;40.6;0.0;0
344;43;1998;2.6;30.1;39.0;0.0;0
345;43;2002;2.3;32.7;41.3;0.0;0
346;43;2008;1.8;32.6;43.2;0.0;0
347;43;2015;2.1;31.9;41.5;44.4;0
348;43;2018;2.9;29.0;37.2;39.5;0
349;44;1996;2.5;36.2;44.4;53.3;0
350;44;2001;2.5;33.6;42.1;40.2;0
351;44;2007;2.5;33.0;42.8;39.9;0
352;44;2014;1.7;35.0;46.6;37.5;0
353;45;2004;2.2;32.4;42.2;69.3;0
354;45;2004;2.2;32.4;42.2;69.3;0
355;45;2012;2.1;32.0;42.1;63.9;0
356;45;2005;2.0;36.9;47.3;50.7;0
357;45;2005;2.0;36.9;47.3;50.7;0
358;45;2011;1.6;37.9;48.9;40.9;0
359;48;1992;1.1;40.5;51.5;0.0;0
360;48;1996;0.5;45.6;56.9;0.0;0
361;48;1999;0.3;46.9;58.7;0.0;0
362;48;2000;0.1;47.0;58.7;0.0;0
363;48;2001;0.5;46.3;57.5;0.0;0
364;48;2002;1.1;45.2;56.0;0.0;0
365;48;2003;1.1;42.8;53.6;0.0;0
366;48;2004;1.2;44.5;55.0;0.0;2
367;48;2005;1.2;43.2;53.9;0.0;2
368;48;2008;1.0;43.7;55.3;0.0;0
369;48;2009;1.1;42.9;54.3;0.0;0
370;48;2010;1.1;43.4;54.6;0.0;0
371;48;2011;1.2;42.4;53.5;0.0;0
372;48;2012;1.2;41.3;52.6;0.0;0
373;48;2013;1.2;41.4;52.6;0.0;0
374;48;2014;1.2;41.4;52.6;0.0;0
375;48;2015;1.3;39.9;51.0;0.0;0
376;48;2016;1.3;39.8;50.6;0.0;0
377;48;2017;1.4;39.0;49.7;0.0;0
378;48;2018;1.4;39.7;50.4;0.0;0
379;48;2019;1.2;40.3;51.3;35.7;0
380;48;2020;0.7;42.2;54.2;42.5;0
381;49;2004;1.5;48.1;55.9;0.0;0
382;49;2014;1.6;33.7;45.3;0.0;0
383;50;2001;1.6;42.6;52.5;58.0;0
384;50;2007;2.0;37.1;47.2;46.0;0
385;50;2015;2.2;32.3;42.4;35.0;0
386;51;1981;1.1;33.7;47.5;0.0;0
387;51;1986;1.5;23.1;34.4;0.0;0
388;51;1989;0.9;33.3;45.6;0.0;0
389;51;1990;1.0;33.0;45.3;0.0;0
390;51;1991;1.0;34.3;46.6;0.0;0
391;51;1992;1.1;33.7;45.7;0.0;0
392;51;1993;1.0;33.7;46.0;0.0;0
393;51;1994;1.1;35.3;46.8;0.0;0
394;51;1995;1.1;33.8;45.7;0.0;0
395;51;1996;1.0;34.3;46.5;0.0;0
396;51;1997;1.3;33.8;45.6;0.0;0
397;51;1998;1.4;34.0;45.7;0.0;0
398;51;1999;1.2;35.9;47.7;0.0;0
399;51;2000;1.1;35.7;47.4;0.0;0
400;51;2001;1.1;39.7;51.5;0.0;0
401;51;2002;1.1;40.4;51.8;0.0;0
402;51;2003;1.1;37.0;49.3;0.0;0
403;51;2004;1.3;36.6;48.4;0.0;0
404;51;2005;1.4;35.9;47.5;0.0;0
405;51;2006;1.4;38.3;49.3;0.0;0
406;51;2007;1.5;38.9;49.3;0.0;0
407;51;2008;1.5;37.7;48.6;0.0;0
408;51;2009;1.3;39.4;50.6;0.0;0
409;51;2010;1.6;36.8;48.0;0.0;0
410;51;2011;1.5;36.9;48.8;24.8;0
411;51;2012;1.5;36.6;48.4;23.5;0
412;51;2013;1.4;37.0;49.2;23.3;0
413;51;2014;1.5;36.9;48.6;24.6;0
414;51;2015;1.5;36.8;48.4;23.6;0
415;51;2016;1.5;37.3;48.7;22.9;0
416;51;2017;1.6;37.0;48.3;22.1;0
417;51;2018;1.5;36.3;48.0;22.9;0
418;51;2019;1.6;36.7;48.2;23.9;0
419;51;2020;1.4;37.0;49.3;30.0;0
420;55;2004;3.6;24.3;30.1;16.1;0
421;55;2005;3.8;24.9;30.3;15.6;0
422;55;2006;3.7;26.0;31.1;15.5;0
423;55;2007;3.7;25.5;31.1;15.9;2
424;55;2008;3.7;26.2;31.7;15.8;0
425;55;2009;3.5;26.2;32.1;15.6;0
426;55;2010;3.6;25.7;31.5;14.8;0
427;55;2011;3.4;26.7;32.6;14.7;0
428;55;2012;3.3;28.0;34.3;15.3;0
429;55;2013;3.1;30.9;37.0;14.4;0
430;55;2014;3.0;28.8;35.6;16.2;0
431;55;2015;3.2;27.5;34.0;16.1;0
432;55;2016;3.4;26.8;32.9;15.7;0
433;55;2017;3.4;25.5;31.4;15.4;0
434;55;2018;3.5;27.2;32.7;14.7;0
435;55;2019;3.5;25.5;31.2;14.3;0
436;56;1992;5.1;19.6;20.7;0.0;0
437;56;1993;4.6;23.6;26.6;0.0;0
438;56;1996;4.0;22.1;25.8;0.0;0
439;56;2002;4.0;22.5;26.6;0.0;0
440;56;2004;3.6;23.1;27.5;0.0;0
441;56;2005;3.8;22.9;26.9;9.8;0
442;56;2006;3.7;22.6;26.7;0.0;1
443;56;2007;3.9;22.3;26.0;0.0;1
444;56;2008;3.9;22.9;26.3;0.0;0
445;56;2009;3.8;22.4;26.2;0.0;0
446;56;2010;3.7;22.4;26.6;0.0;0
447;56;2011;3.7;22.2;26.4;0.0;0
448;56;2012;3.9;22.2;26.1;0.0;0
449;56;2013;3.8;22.6;26.5;0.0;0
450;56;2014;3.9;22.1;25.9;9.7;0
451;56;2015;3.9;22.1;25.9;9.7;0
452;56;2016;4.0;21.9;25.4;9.1;0
453;56;2017;4.2;21.5;24.9;9.6;0
454;56;2018;4.2;21.5;25.0;10.1;0
455;56;2019;4.2;21.5;25.3;9.5;0
456;57;1991;3.7;23.1;29.4;0.0;0
457;57;1992;3.6;23.3;29.2;0.0;0
458;57;1993;3.7;22.9;28.7;0.0;0
459;57;1994;3.3;23.0;29.2;0.0;0
460;57;1995;3.4;23.0;29.0;0.0;0
461;57;1996;3.6;22.6;28.4;0.0;0
462;57;1997;3.6;22.4;28.3;0.0;0
463;57;1998;3.6;22.3;28.3;0.0;0
464;57;1999;3.5;23.2;29.1;0.0;0
465;57;2000;3.5;23.0;28.9;0.0;0
466;57;2001;3.5;23.9;30.1;0.0;0
467;57;2002;3.4;23.7;29.9;0.0;0
468;57;2003;3.4;24.0;30.1;0.0;0
469;57;2004;3.4;24.1;30.3;12.2;52
470;57;2005;3.3;25.3;31.8;12.5;57
471;57;2006;3.4;24.9;31.2;15.2;55
472;57;2007;3.4;25.2;31.4;15.2;55
473;57;2008;3.4;24.7;30.9;15.5;0
474;57;2009;3.3;24.0;30.5;15.6;0
475;57;2010;3.4;24.1;30.3;15.8;0
476;57;2011;3.4;24.6;30.8;16.1;0
477;57;2012;3.2;24.4;31.1;16.1;0
478;57;2013;3.3;24.9;31.5;16.7;0
479;57;2014;3.2;24.1;30.9;16.7;0
480;57;2015;3.1;24.8;31.6;16.5;0
481;57;2016;3.1;24.7;31.6;16.1;0
482;57;2017;3.1;24.6;31.2;16.0;0
483;57;2018;3.1;25.1;31.7;18.9;0
484;58;2002;2.3;30.8;40.0;0.0;0
485;58;2012;1.3;34.4;45.1;0.0;0
486;58;2013;1.7;34.1;44.1;0.0;0
487;58;2017;1.9;32.3;41.6;21.1;0
488;60;1987;3.6;21.6;26.2;0.0;0
489;60;1992;3.8;20.5;24.7;0.0;0
490;60;1995;4.5;19.8;23.0;0.0;0
491;60;2000;4.4;20.1;23.8;0.0;0
492;60;2003;4.0;21.4;25.6;0.0;0
493;60;2004;4.0;20.7;24.9;0.0;3
494;60;2005;4.0;21.0;25.2;0.0;3
495;60;2006;4.0;21.8;25.9;0.0;2
496;60;2007;3.9;22.1;26.2;0.0;2
497;60;2008;3.9;21.0;25.2;0.0;0
498;60;2009;3.5;21.8;26.7;0.0;0
499;60;2010;3.7;22.5;27.2;0.0;0
500;60;2011;3.7;22.7;27.3;0.0;0
501;60;2012;3.7;23.1;27.8;0.0;0
502;60;2013;3.6;23.7;28.5;0.0;0
503;60;2014;3.4;23.6;28.4;0.0;0
504;60;2015;3.7;23.8;28.2;0.0;0
505;60;2016;3.7;23.7;28.2;0.0;0
506;60;2017;3.7;24.0;28.7;0.0;0
507;60;2018;3.7;23.5;28.2;0.0;0
508;60;2019;3.8;23.5;27.7;12.1;0
509;61;1986;1.4;36.1;47.8;0.0;0
510;61;1989;1.7;39.8;50.5;0.0;0
511;61;1992;1.6;41.9;51.4;0.0;0
512;61;1996;1.5;36.5;47.4;0.0;0
513;61;1997;1.3;37.9;48.9;0.0;0
514;61;2000;1.2;40.2;51.5;0.0;0
515;61;2001;1.5;39.2;50.0;0.0;0
