"pop_id";"country_id";"year";"population"
1;2;1800;3280000
2;2;1801;3280000
3;2;1802;3280000
4;2;1803;3280000
5;2;1804;3280000
6;2;1805;3280000
7;2;1806;3280000
8;2;1807;3280000
9;2;1808;3280000
10;2;1809;3280000
11;2;1810;3280000
12;2;1811;3280000
13;2;1812;3280000
14;2;1813;3280000
15;2;1814;3280000
16;2;1815;3280000
17;2;1816;3280000
18;2;1817;3280000
19;2;1818;3280000
20;2;1819;3280000
21;2;1820;3290000
22;2;1821;3300000
23;2;1822;3310000
24;2;1823;3320000
25;2;1824;3340000
26;2;1825;3350000
27;2;1826;3370000
28;2;1827;3380000
29;2;1828;3400000
30;2;1829;3410000
31;2;1830;3430000
32;2;1831;3450000
33;2;1832;3460000
34;2;1833;3480000
35;2;1834;3490000
36;2;1835;3510000
37;2;1836;3520000
38;2;1837;3540000
39;2;1838;3550000
40;2;1839;3570000
41;2;1840;3590000
42;2;1841;3600000
43;2;1842;3620000
44;2;1843;3630000
45;2;1844;3650000
46;2;1845;3670000
47;2;1846;3680000
48;2;1847;3700000
49;2;1848;3720000
50;2;1849;3730000
51;2;1850;3750000
52;2;1851;3770000
53;2;1852;3790000
54;2;1853;3810000
55;2;1854;3830000
56;2;1855;3840000
57;2;1856;3860000
58;2;1857;3880000
59;2;1858;3900000
60;2;1859;3920000
61;2;1860;3940000
62;2;1861;3960000
63;2;1862;3980000
64;2;1863;4000000
65;2;1864;4020000
66;2;1865;4040000
67;2;1866;4060000
68;2;1867;4080000
69;2;1868;4100000
70;2;1869;4120000
71;2;1870;4140000
72;2;1871;4160000
73;2;1872;4180000
74;2;1873;4210000
75;2;1874;4230000
76;2;1875;4250000
77;2;1876;4270000
78;2;1877;4290000
79;2;1878;4310000
80;2;1879;4330000
81;2;1880;4350000
82;2;1881;4380000
83;2;1882;4400000
84;2;1883;4420000
85;2;1884;4440000
86;2;1885;4460000
87;2;1886;4490000
88;2;1887;4510000
89;2;1888;4530000
90;2;1889;4550000
91;2;1890;4580000
92;2;1891;4600000
93;2;1892;4620000
94;2;1893;4650000
95;2;1894;4670000
96;2;1895;4690000
97;2;1896;4710000
98;2;1897;4740000
99;2;1898;4760000
100;2;1899;4790000
101;2;1900;4830000
102;2;1901;4880000
103;2;1902;4940000
104;2;1903;5000000
105;2;1904;5060000
106;2;1905;5130000
107;2;1906;5200000
108;2;1907;5260000
109;2;1908;5330000
110;2;1909;5470000
111;2;1910;5680000
112;2;1911;5980000
113;2;1912;6360000
114;2;1913;6850000
115;2;1914;7370000
116;2;1915;7920000
117;2;1916;8520000
118;2;1917;9170000
119;2;1918;9880000
120;2;1919;10300000
121;2;1920;10600000
122;2;1921;10500000
123;2;1922;10300000
124;2;1923;9710000
125;2;1924;9200000
126;2;1925;8720000
127;2;1926;8260000
128;2;1927;7830000
129;2;1928;7420000
130;2;1929;7100000
131;2;1930;6870000
132;2;1931;6720000
133;2;1932;6640000
134;2;1933;6640000
135;2;1934;6640000
136;2;1935;6640000
137;2;1936;6640000
138;2;1937;6640000
139;2;1938;6640000
140;2;1939;6660000
141;2;1940;6700000
142;2;1941;6770000
143;2;1942;6850000
144;2;1943;6950000
145;2;1944;7060000
146;2;1945;7170000
147;2;1946;7280000
148;2;1947;7390000
149;2;1948;7500000
150;2;1949;7620000
151;2;1950;7750000
152;2;1951;7840000
153;2;1952;7940000
154;2;1953;8040000
155;2;1954;8150000
156;2;1955;8270000
157;2;1956;8400000
158;2;1957;8540000
159;2;1958;8680000
160;2;1959;8830000
161;2;1960;9000000
162;2;1961;9170000
163;2;1962;9350000
164;2;1963;9540000
165;2;1964;9740000
166;2;1965;9960000
167;2;1966;10200000
168;2;1967;10400000
169;2;1968;10600000
170;2;1969;10900000
171;2;1970;11200000
